Project Name,Is PSH,Company,Precon/Architectural Start,Precon/Architectural End,Is LIHTC Deal,LIHTC App Start,LIHTC App End,is 4% Deal,4% App Start,4% App End,Zoning Start,Zoning End,Permitting Start,Permitting End,Is Ownership Project,Sales Start,Sales End,Construction Start,Construction End,Conversion/Stabilization/8609 Start,Conversion/Stabilization/8609 End,Est Dev Fee (to company),Est Quarterly Dist (to company),Sale Proceeds,Lead Developer,Asst Developer
Amasa For Sale ,N,PHF,Q2 2026,Q4 2026,N,,,N,,,,,,,Y,Q4 2027,Q1 2028,Q1 2027,Q3 2027,, ,0,0,250000,Kris,Morgan
Red Hills ,Y,DBW ,,,N,,,N,,,,,,,N,,,Q1 2026,Q2 2026,Q3 2026,Q1 2027,1000000,0,,Melissa ,Russell 
SMAS ,Y,Giv C,,,N,,,N,,,,,,,N,,,Q1 2026,Q2 2027,Q3 2027,Q1 2028,1000000,0,0,Ivan ,CJ 
CW 4 ,N,Giv D,,,Y,,,N,,,,,,,N,,,Q1 2026,Q3 2026,Q4 2026,Q3 2027,1000000,250000,0,Amanda ,Roberta 
Amasa 2 ,N,Giv D,Q1 2026,Q3 2026,Y,,,N,,,,,,,N,,,Q4 2026,Q4 2027,Q1 2028,Q3 2028,1000000,250000,0,Amanda ,Claudia 
CW 2/3 ,N,Giv D,,,Y,,,N,,,,,,,N,,,,,Q1 2026,Q3 2026,1000000,250000,0,Amanda  ,Roberta 
Judge ,N,Giv D,Q1 2026,Q3 2026,N,,,N,,,,,,,Y,Q4 2027,Q1 2028,Q4 2026,Q3 2027,,,0,0,250000,Jessica ,Sam
Saltair ,Y,Giv D,,,N,,,N,,,,,,,N,,,Q1 2026,Q2 2027,Q3 2027,Q2 2028,1000000,0,0,Melissa ,Abbie 
Palmer FSH / TRH,Y,Giv D,Q1 2026,Q1 2027,N,,,N,,,,,,,N,,,Q2 2027,Q3 2028,Q4 2028,Q3 2029,1000000,0,0,Melissa ,Jin Jin 
Three Ferns,N,Giv D,Q4 2026,Q4 2027,Y,Q1 2026,Q2 2026,Y,,,,,,,N,,,Q1 2028,Q4 2028,Q1 2029,Q4 2029,1000000,250000,0,Melissa ,Abbie 
Valley ,Y,Giv D,Q3 2026,Q3 2027,Y,Q1 2026,Q2 2026,Y,,,,,,,N,,,Q4 2027,Q3 2028,Q4 2028,Q2 2029,1000000,0,0,Melissa ,Russell 
Amasa 1 ,N,Giv D,Q1 2026,Q1 2026,Y,,,N,,,,,,,N,,,Q2 2026,Q1 2027,Q2 2027,Q1 2028,1000000,250000,0,Amanda ,Claudia 
515 ,N,PHF ,,,Y,,,N,,,,,,,N,,,,,Q1 2026,Q2 2026,1000000,250000,0,Ivan , 
515.2 ,N,PHF ,Q1 2026,Q3 2026,N,,,Y,Q4 2026,Q4 2026,,,Q1 2027,Q2 2027,N,,,Q3 2027,Q4 2028,Q1 2029,Q3 2029,1000000,250000,0,Jessica ,Sam
IJ3/FSB ,N,PHF ,Q1 2026,Q3 2026,N,,,Y,Q4 2026,Q4 2026,,,Q1 2027,Q2 2027,N,,,Q3 2027,Q3 2028,Q4 2028,Q2 2029,1000000,250000,0,Kris  ,
PO3 ,N,PHF ,Q1 2026,Q1 2026,N,,,N,,,,,,,Y,Q2 2027,Q3 2027,Q2 2026,Q1 2027,,,0,0,250000,Kris,Morgan
Palmer 4%  Phase I,N,PHF ,Q4 2026,Q3 2027,N,,,Y,Q4 2027,Q4 2027,Q2 2026,Q3 2026,Q1 2028,Q2 2028,N,,,Q3 2028,Q2 2030,Q3 2030,Q4 2030,1000000,250000,0,Kris,Morgan
Palmer 4%  Phase II,N,PHF ,Q3 2027,Q1 2028,N,,,Y,Q2 2028,Q2 2028,,,Q3 2028,Q4 2028,N,,,Q1 2028,Q4 2030,Q1 2031,Q3 2031,1000000,250000,0,Kris,Morgan
Weber Crossing,N,PHF,Q1 2027,Q3 2027,N,,,Y,Q4 2027,Q4 2027,,,Q1 2028,Q2 2028,N,,,Q3 2028,Q4 2029,Q1 2030,Q3 2030,1000000,0,0,Kris,CJ
